$PAXYZ,-11401,15870,-16866
$PMXYZ,-20720,15723,4929
$PGXYZ,9830,16769,23593
$PAXYZ,11258,15829,32714
$PMXYZ,22209,15753,31961
$PGXYZ,-17039,16762,-20971
$GPRMC,113347.187,V,,,,,0.00,0.00,120120,,,N*40
$PAXYZ,28780,15882,12642
$PMXYZ,12583,15752,31037
$PGXYZ,11141,16768,-18350
$PAXYZ,7506,15886,-910
$PMXYZ,29256,15737,1237
$PGXYZ,-3932,16768,20972
$PAXYZ,14682,15851,17960
$PMXYZ,-7004,15701,24181
$PGXYZ,17695,16770,18350
$PAXYZ,-8961,15873,17960
$PMXYZ,-16295,15748,-5621
$PGXYZ,6554,16768,10486
$PAXYZ,-11401,15870,6121
$PMXYZ,29256,15737,-24872
$PGXYZ,-28836,-16686,13107
$PAXYZ,-4879,15865,24482
$PMXYZ,-11094,15724,-8389
$PGXYZ,15729,-16172,-31457
$GPRMC,113348.181,V,,,,,0.75,21.49,120120,,,N*75
$PAXYZ,-18249,15826,-6227
$PMXYZ,14093,15712,14554
$PGXYZ,26214,-16294,28836
$PAXYZ,-4879,15865,24482
$PMXYZ,31499,15706,16399
$PGXYZ,26214,-16506,28836
$PAXYZ,24628,15868,3207
$PMXYZ,31499,15706,12709
$PGXYZ,7864,15813,-18350
$PAXYZ,14027,15881,17960
$PMXYZ,-3314,15717,-6543
$PGXYZ,-2621,15848,-15729
$GPRMC,113349.181,A,5038.5579,N,00123.8321,W,0.31,30.95,120120,,,A*4C
$PAXYZ,-4879,15865,-27503
$PMXYZ,-1468,15725,-12478
$PGXYZ,15729,15914,-5243
$PAXYZ,14682,15851,28597
$PMXYZ,19629,15736,-24872
$PGXYZ,20972,15896,10486
$PAXYZ,-8961,15873,-7430
$PMXYZ,8158,15727,-21181
$PGXYZ,23593,-17265,15729
$PAXYZ,8163,15856,-26300
$PMXYZ,-16631,15700,24181
$PGXYZ,-2621,16104,15729
$GPRMC,113350.183,A,5038.5588,N,00123.8316,W,0.32,15.19,120120,,,A*4C
$PAXYZ,-28195,15809,-28705
$PMXYZ,-30345,15722,-23949
$PGXYZ,2622,15575,26214
$PAXYZ,-23714,15872,13843
$PMXYZ,8158,15727,21412
$PGXYZ,5243,15950,-31457
$PAXYZ,985,15891,-27503
$PMXYZ,29989,15746,-25795
$PGXYZ,15729,15914,-15729
$PAXYZ,-728,15879,6121
$PMXYZ,6313,15719,3083
$PGXYZ,-10486,16019,18350
$PAXYZ,31149,15863,32714
$PMXYZ,-12939,15716,-6543
$PGXYZ,5243,15950,10486
$GPRMC,113351.183,A,5038.5588,N,00123.8319,W,0.16,58.91,120120,,,A*4D
$PAXYZ,5793,15875,-910
$PMXYZ,8158,15727,-12478
$PGXYZ,5243,16078,-23593
$PAXYZ,17451,15903,-13259
$PMXYZ,12247,15704,314
$PGXYZ,23593,-17137,-13107
$PAXYZ,28780,15882,-910
$PMXYZ,29654,15698,13631
$PGXYZ,2622,15959,18350
$PAXYZ,-28195,15809,7324
$PMXYZ,-28500,15730,1237
$PGXYZ,31457,16100,10486
$GPRMC,113352.182,A,5038.5587,N,00123.8321,W,0.17,26.87,120120,,,A*44
$PAXYZ,-13769,15889,24482
$PMXYZ,23131,15757,-9311
$PGXYZ,2622,15959,23593
$PAXYZ,11258,15829,-31620
$PMXYZ,-17218,15744,-17092
$PGXYZ,23593,15759,26214
$PAXYZ,24628,15868,-6227
$PMXYZ,378,15734,9941
$PGXYZ,-23593,16064,26214
$PAXYZ,-14825,15848,-26300
$PMXYZ,-9249,15732,31961
$PGXYZ,-7864,15738,18350
$PAXYZ,-27866,15858,32714
$PMXYZ,12247,15704,1237
$PGXYZ,-2621,15976,13107
$GPRMC,113353.183,A,5038.5591,N,00123.8317,W,0.12,22.19,120120,,,A*40
$PAXYZ,-24771,15831,2004
$PMXYZ,4467,15711,10864
$PGXYZ,-20971,16055,26214
$PAXYZ,-1783,15838,-19781
$PMXYZ,23719,15713,4006
$PGXYZ,2622,15831,-23593
$PAXYZ,2696,15902,-16866
$PMXYZ,-14785,15708,26424
$PGXYZ,7864,15941,5243
$PAXYZ,-14825,15848,-11547
$PMXYZ,-30345,15722,24181
$PGXYZ,10486,16060,-7864
$GPRMC,113354.184,A,5038.5593,N,00123.8315,W,0.32,14.49,120120,,,A*42
$PAXYZ,27397,15792,32714
$PMXYZ,29654,15698,-19860
$PGXYZ,-23593,16064,18350
$PAXYZ,20547,15876,-26300
$PMXYZ,31499,15706,9941
$PGXYZ,26214,15878,20972
$PAXYZ,7506,15886,24482
$PMXYZ,-1468,15725,-31730
$PGXYZ,2622,-17193,-31457
$PAXYZ,24300,15819,-16866
$PMXYZ,31835,15754,18644
